"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,104187185770,104187185770,104187185770,0,104187185770,104187185770,1,104187185770
0,"<unknown>","timer",1,0,209553,209553,209553,0,209553,209664,1,209553
0,"DRAM Energy","counter",104,0,0,0,0,0,0,0,1,0
0,"Package-0 Energy","counter",104,0,0,0,0,0,0,0,1,0
0,"CPU Guest %","counter",104,0,0,0,0,0,0,0,1,0
0,"status:VmHWM kB","counter",105,0,137208,807596,1130816,219308,84797536,0,1,84797536
0,"CPU I/O Wait %","counter",104,0,0,0,0,0,0,0,1,0
0,"status:VmExe kB","counter",105,0,2772,2772,2772,0,291060,0,1,291060
0,"status:VmPTE kB","counter",105,0,636,3734,4380,501,392072,0,1,392072
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,1325690,1325690,1325690,0,1325690,1325824,1,1325690
0,"status:VmLck kB","counter",105,0,0,0,0,0,0,0,1,0
0,"status:VmPin kB","counter",105,0,0,0,0,0,0,0,1,0
0,"status:VmSize kB","counter",105,0,2007576,18560904,22056876,2237631,1948894968,0,1,1948894968
0,"status:VmLib kB","counter",105,0,1328152,1328152,1328152,0,139455960,0,1,139455960
0,"run_helper","timer",1,3,61081,715801,422146,0,715801,715801,3,238600
0,"status:VmData kB","counter",105,0,196496,2129987,2463852,283293,223648620,0,1,223648620
0,"assemble K_tiles","timer",1313280,1300344,360,7058285,194049069,10345023,9269504546327,9269504546327,96,96557339024
0,"cholesky_step assembly","counter",10,0,9280476236,9699899331,10529251259,318034926,96998993307,0,9,10777665923
0,"status:VmSwap kB","counter",105,0,0,0,0,0,0,0,1,0
0,"1 Minute Load average","counter",105,0,2,33,67,16,3465,0,1,3465
0,"status:VmPeak kB","counter",105,0,2007576,20106619,22286888,2248424,2111194968,0,1,2111194968
0,"status:voluntary_ctxt_switches","counter",105,0,124,406,413,28,42608,0,1,42608
0,"status:nonvoluntary_ctxt_switches","counter",105,0,104,115,117,2,12043,0,1,12043
0,"CPU IRQ %","counter",104,0,0,0,0,0,0,0,1,0
0,"status:VmRSS kB","counter",105,0,137208,807596,1130816,219308,84797532,0,1,84797532
0,"CPU soft IRQ %","counter",104,0,0,0,0,0,1,0,1,1
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,6430,41956,77481,35526,83911,83968,1,83911
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,80761,428437,208743,0,428437,428437,2,214219
0,"run_as_hpx_thread (void)","timer",10,10,162853697,858195844,704742531,0,8581958441,8581958441,14,612997032
0,"status:VmStk kB","counter",105,0,140,140,140,0,14700,0,1,14700
0,"CPU User %","counter",104,0,1,7,58,14,686,0,1,686
0,"CPU System %","counter",104,0,0,1,1,0,69,0,1,69
0,"CPU Nice %","counter",104,0,0,0,0,0,0,0,1,0
0,"CPU Idle %","counter",104,0,41,93,98,14,9644,0,1,9644
0,"status:Threads","counter",105,0,14,103,104,9,10830,0,1,10830
0,"CPU Steal %","counter",104,0,0,0,0,0,0,0,1,0
